"Latest: Time (s)","Latest: Current (A)","Latest: Potential 1 (V)","Latest: Potential 2 (V)"
11.846,-0.167770385742,-0.0244140625,-3.90357971191
11.847,-0.167388916016,-0.0320434570313,-3.89976501465
11.848,-0.167770385742,-0.0358581542969,-3.89976501465
11.849,-0.167770385742,-0.0358581542969,-3.89976501465
11.85,-0.167388916016,-0.0434875488281,-3.89976501465
11.851,-0.167770385742,-0.0358581542969,-3.89976501465
11.852,-0.167388916016,-0.0244140625,-3.89976501465
11.853,-0.167388916016,-0.0205993652344,-3.90357971191
11.854,-0.167388916016,-0.0091552734375,-3.89595031738
11.855,-0.167770385742,-0.00152587890625,-3.89595031738
11.856,-0.167770385742,-0.00152587890625,-3.89595031738
11.857,-0.167388916016,-0.00152587890625,-3.89976501465
11.858,-0.167770385742,0.00228881835938,-3.89976501465
11.859,-0.167770385742,0.00991821289063,-3.89976501465
11.86,-0.167388916016,-0.00152587890625,-3.89976501465
11.861,-0.167388916016,-0.00534057617188,-3.89976501465
11.862,-0.167770385742,-0.0129699707031,-3.89595031738
11.863,-0.167388916016,-0.0320434570313,-3.89595031738
11.864,-0.167770385742,-0.0396728515625,-3.89976501465
11.865,-0.167388916016,-0.0358581542969,-3.89976501465
11.866,-0.167388916016,-0.0396728515625,-3.90357971191
11.867,-0.167770385742,-0.0358581542969,-3.89976501465
11.868,-0.167388916016,-0.0282287597656,-3.89976501465
11.869,-0.167388916016,-0.0244140625,-3.89976501465
11.87,0.000724792480469,-0.0129699707031,4.03881072998
11.871,0.110511779785,-0.0434875488281,3.99703979492
11.872,0.147476196289,-0.0205993652344,3.98559570313
11.873,0.160446166992,-0.00534057617188,3.98178100586
11.874,0.164642333984,0.00228881835938,3.98178100586
11.875,0.166168212891,0.006103515625,3.97415161133
11.876,0.166549682617,-0.00152587890625,3.98178100586
11.877,0.166931152344,-0.0091552734375,3.98178100586
11.878,0.166931152344,-0.0167846679688,3.98178100586
11.879,0.166931152344,-0.0244140625,3.97415161133
11.88,0.166931152344,-0.0320434570313,3.97415161133
11.881,0.166931152344,-0.0358581542969,3.97033691406
11.882,0.166931152344,-0.0358581542969,3.97415161133
11.883,0.166931152344,-0.0434875488281,3.98559570313
11.884,0.166931152344,-0.0396728515625,3.98178100586
11.885,0.166931152344,-0.0320434570313,3.98178100586
11.886,0.166931152344,-0.0282287597656,3.97415161133
11.887,0.166931152344,-0.0167846679688,3.97796630859
11.888,0.166931152344,-0.00152587890625,3.98178100586
11.889,0.166931152344,-0.00152587890625,3.98178100586
11.89,0.166931152344,-0.00152587890625,3.98178100586
11.891,0.166931152344,0.00228881835938,3.98178100586
11.892,0.166931152344,-0.00152587890625,3.98178100586
11.893,0.166931152344,-0.00534057617188,3.98178100586
11.894,0.16731262207,-0.0091552734375,3.97415161133
11.895,0.166931152344,-0.0129699707031,3.97415161133
11.896,0.166931152344,-0.0244140625,3.97033691406
11.897,0.166931152344,-0.0358581542969,3.97796630859
11.898,0.166931152344,-0.0396728515625,3.97796630859
11.899,0.166931152344,-0.0434875488281,3.98178100586
11.9,0.166931152344,-0.0434875488281,3.98178100586
11.901,0.166931152344,-0.0320434570313,3.97796630859
11.902,0.166931152344,-0.0244140625,3.98178100586
11.903,0.166931152344,-0.0205993652344,3.97796630859
11.904,0.166931152344,-0.0129699707031,3.97796630859
11.905,0.166931152344,-0.00534057617188,3.98178100586
11.906,0.166931152344,-0.00534057617188,3.98178100586
11.907,0.166931152344,-0.00152587890625,3.98178100586
11.908,0.166931152344,0.00991821289063,3.98559570313
11.909,0.166931152344,0.006103515625,3.97796630859
11.91,0.166931152344,-0.00534057617188,3.97415161133
11.911,0.16731262207,-0.0091552734375,3.97796630859
11.912,0.166931152344,-0.0167846679688,3.98178100586
11.913,0.166931152344,-0.0358581542969,3.98178100586
11.914,0.166931152344,-0.0358581542969,3.98178100586
11.915,0.166931152344,-0.0282287597656,3.98178100586
11.916,0.166931152344,-0.0358581542969,3.98178100586
11.917,0.166931152344,-0.0358581542969,3.97415161133
11.918,0.166931152344,-0.0320434570313,3.97415161133
11.919,0.16731262207,-0.0282287597656,3.97415161133
11.92,-0.0133895874023,-0.0282287597656,-3.9493560791
11.921,-0.115165710449,0.0175476074219,-3.91883850098
11.922,-0.149478912354,0.0175476074219,-3.90357971191
11.923,-0.161304473877,0.00991821289063,-3.90357971191
11.924,-0.165481567383,0.006103515625,-3.89976501465
11.925,-0.166625976563,0.00991821289063,-3.90357971191
11.926,-0.167388916016,-0.00152587890625,-3.89595031738
11.927,-0.167388916016,-0.0129699707031,-3.89595031738
11.928,-0.167770385742,-0.0129699707031,-3.89595031738
11.929,-0.167388916016,-0.0167846679688,-3.89976501465
11.93,-0.167770385742,-0.0244140625,-3.89976501465
